sheet,city,model,strategy,horizon,MAE,params
Лист1,Благовещенск,Decision Tree,direct,1,2.3239380333382087,"{'max_depth': 10, 'min_samples_leaf': 20}"
Лист1,Благовещенск,Decision Tree,direct,2,2.4013895944078585,"{'max_depth': 15, 'min_samples_leaf': 11}"
Лист1,Благовещенск,Decision Tree,direct,3,2.3799978484683137,"{'max_depth': 11, 'min_samples_leaf': 30}"
Лист1,Благовещенск,Decision Tree,direct,4,2.51628639654956,"{'max_depth': 8, 'min_samples_leaf': 27}"
Лист1,Благовещенск,Decision Tree,direct,5,2.6111684906650225,"{'max_depth': 16, 'min_samples_leaf': 16}"
Лист1,Благовещенск,Decision Tree,direct,6,2.632095706686508,"{'max_depth': 8, 'min_samples_leaf': 7}"
Лист1,Благовещенск,Decision Tree,direct,7,2.7169784860953277,"{'max_depth': 17, 'min_samples_leaf': 28}"
Лист1,Благовещенск,Decision Tree,direct,8,2.8545863507741775,"{'max_depth': 11, 'min_samples_leaf': 6}"
Лист1,Благовещенск,Decision Tree,direct,9,2.771071126508869,"{'max_depth': 8, 'min_samples_leaf': 25}"
Лист1,Благовещенск,Decision Tree,direct,10,2.782559802267693,"{'max_depth': 11, 'min_samples_leaf': 24}"
Лист1,Благовещенск,Decision Tree,direct,11,2.8998078013581465,"{'max_depth': 11, 'min_samples_leaf': 11}"
Лист1,Благовещенск,Decision Tree,direct,12,2.914785740655714,"{'max_depth': 7, 'min_samples_leaf': 22}"
Лист1,Благовещенск,Decision Tree,direct,13,3.062782455725171,"{'max_depth': 15, 'min_samples_leaf': 26}"
Лист1,Благовещенск,Decision Tree,direct,14,2.980012660200437,"{'max_depth': 9, 'min_samples_leaf': 30}"
Лист1,Благовещенск,Decision Tree,direct,15,3.0854581862854604,"{'max_depth': 11, 'min_samples_leaf': 14}"
Лист1,Благовещенск,Decision Tree,direct,16,3.080098567018102,"{'max_depth': 12, 'min_samples_leaf': 26}"
Лист1,Благовещенск,Decision Tree,direct,17,3.0723588696496753,"{'max_depth': 10, 'min_samples_leaf': 27}"
